;Ед. изм.;дек.22;янв.23;фев.23;мар.23;апр.23;май.23;июн.23;июл.23;авг.23;сен.23;окт.23;ноя.23;дек.23;янв.24;фев.24;мар.24;апр.24;май.24;июн.24;июл.24;авг.24;сен.24;окт.24;ноя.24;дек.24;янв.25;фев.25;мар.25;апр.25;май.25;июн.25;июл.25;авг.25;сен.25;окт.25;ноя.25;дек.25;янв.26;фев.26;мар.26;апр.26;май.26;июн.26;июл.26;авг.26;сен.26;окт.26;ноя.26;дек.26;янв.27;фев.27;мар.27;апр.27;май.27;июн.27;июл.27;авг.27;сен.27;окт.27;ноя.27
Лавровый лист;кг.;320;320;323.2;326.432;329.69632;332.9932832;336.323216;339.6864482;343.0833127;346.5141458;349.9792873;353.4790801;357.0138709;360.5840096;364.1898497;367.8317482;371.5100657;375.2251664;378.977418;382.7671922;386.5948641;390.4608128;394.3654209;398.3090751;402.2921659;406.3150875;410.3782384;414.4820208;418.626841;422.8131094;427.0412405;431.3116529;435.6247694;439.9810171;444.3808273;448.8246356;453.3128819;457.8460107;462.4244709;467.0487156;471.7192027;476.4363947;481.2007587;486.0127663;490.8728939;495.7816229;500.7394391;505.7468335;510.8043018;515.9123449;521.0714683;526.282183;531.5450048;536.8604549;542.2290594;547.65135;553.1278635;558.6591421;564.2457336;569.8881909
Лапша яичная;кг.;60;60;60.6;61.206;61.81806;62.4362406;63.060603;63.691209;64.3281211;64.9714023;65.6211164;66.2773275;66.9401008;67.6095018;68.2855968;68.9684528;69.6581373;70.3547187;71.0582659;71.7688485;72.486537;73.2114024;73.9435164;74.6829516;75.4297811;76.1840789;76.9459197;77.7153789;78.4925327;79.277458;80.0702326;80.8709349;81.6796443;82.4964407;83.3214051;84.1546192;84.9961654;85.846127;86.7045883;87.5716342;88.4473505;89.331824;90.2251423;91.1273937;92.0386676;92.9590543;93.8886448;94.8275313;95.7758066;96.7335647;97.7009003;98.6779093;99.6646884;100.6613353;101.6679486;102.6846281;103.7114744;104.7485892;105.796075;106.8540358
Лук репка;кг.;32;32;32.32;32.6432;32.969632;33.2993283;33.6323216;33.9686448;34.3083313;34.6514146;34.9979287;35.347908;35.7013871;36.058401;36.418985;36.7831748;37.1510066;37.5225166;37.8977418;38.2767192;38.6594864;39.0460813;39.4365421;39.8309075;40.2292166;40.6315088;41.0378238;41.4482021;41.8626841;42.2813109;42.7041241;43.1311653;43.5624769;43.9981017;44.4380827;44.8824636;45.3312882;45.7846011;46.2424471;46.7048716;47.1719203;47.6436395;48.1200759;48.6012766;49.0872894;49.5781623;50.0739439;50.5746834;51.0804302;51.5912345;52.1071468;52.6282183;53.1545005;53.6860455;54.2229059;54.765135;55.3127864;55.8659142;56.4245734;56.9888191
Масло растительное;кг.;69.33;69.33;70.0233;70.723533;71.4307683;72.145076;72.8665268;73.595192;74.331144;75.0744554;75.8252;76.583452;77.3492865;78.1227793;78.9040071;79.6930472;80.4899777;81.2948775;82.1078262;82.9289045;83.7581935;84.5957755;85.4417332;86.2961506;87.1591121;88.0307032;88.9110102;89.8001203;90.6981215;91.6051027;92.5211538;93.4463653;94.380829;95.3246372;96.2778836;97.2406625;98.2130691;99.1951998;100.1871518;101.1890233;102.2009135;103.2229226;104.2551519;105.2977034;106.3506804;107.4141872;108.4883291;109.5732124;110.6689445;111.775634;112.8933903;114.0223242;115.1625475;116.3141729;117.4773147;118.6520878;119.8386087;121.0369948;122.2473647;123.4698384
Молоко;кг.;39;39;39.39;39.7839;40.181739;40.5835564;40.989392;41.3992859;41.8132787;42.2314115;42.6537256;43.0802629;43.5110655;43.9461762;44.3856379;44.8294943;45.2777893;45.7305672;46.1878728;46.6497516;47.1162491;47.5874116;48.0632857;48.5439185;49.0293577;49.5196513;50.0148478;50.5149963;51.0201462;51.5303477;52.0456512;52.5661077;53.0917688;53.6226865;54.1589133;54.7005025;55.2475075;55.7999826;56.3579824;56.9215622;57.4907778;58.0656856;58.6463425;59.2328059;59.8251339;60.4233853;61.0276191;61.6378953;62.2542743;62.876817;63.5055852;64.1406411;64.7820475;65.4298679;66.0841666;66.7450083;67.4124584;68.0865829;68.7674488;69.4551233
Морковь;кг.;15;15;15.15;15.3015;15.454515;15.6090602;15.7651508;15.9228023;16.0820303;16.2428506;16.4052791;16.5693319;16.7350252;16.9023755;17.0713992;17.2421132;17.4145343;17.5886797;17.7645665;17.9422121;18.1216343;18.3028506;18.4858791;18.6707379;18.8574453;19.0460197;19.2364799;19.4288447;19.6231332;19.8193645;20.0175581;20.2177337;20.4199111;20.6241102;20.8303513;21.0386548;21.2490413;21.4615318;21.6761471;21.8929085;22.1118376;22.332956;22.5562856;22.7818484;23.0096669;23.2397636;23.4721612;23.7068828;23.9439516;24.1833912;24.4252251;24.6694773;24.9161721;25.1653338;25.4169872;25.671157;25.9278686;26.1871473;26.4490188;26.7135089
Мука пшеничная;кг.;41;41;41.41;41.8241;42.242341;42.6647644;43.0914121;43.5223262;43.9575494;44.3971249;44.8410962;45.2895071;45.7424022;46.1998262;46.6618245;47.1284427;47.5997272;48.0757244;48.5564817;49.0420465;49.532467;50.0277916;50.5280696;51.0333502;51.5436838;52.0591206;52.5797118;53.1055089;53.636564;54.1729296;54.7146589;55.2618055;55.8144236;56.3725678;56.9362935;57.5056564;58.080713;58.6615201;59.2481353;59.8406167;60.4390228;61.0434131;61.6538472;62.2703857;62.8930895;63.5220204;64.1572406;64.798813;65.4468012;66.1012692;66.7622819;67.4299047;68.1042037;68.7852458;69.4730982;70.1678292;70.8695075;71.5782026;72.2939846;73.0169245
Огурец соленый;кг.;125;125;126.25;127.5125;128.787625;130.0755013;131.3762563;132.6900188;134.016919;135.3570882;136.7106591;138.0777657;139.4585433;140.8531288;142.2616601;143.6842767;145.1211194;146.5723306;148.0380539;149.5184345;151.0136188;152.523755;154.0489925;155.5894825;157.1453773;158.7168311;160.3039994;161.9070394;163.5261098;165.1613709;166.8129846;168.4811144;170.1659256;171.8675848;173.5862607;175.3221233;177.0753445;178.8460979;180.6345589;182.4409045;184.2653136;186.1079667;187.9690464;189.8487368;191.7472242;193.6646964;195.6013434;197.5573568;199.5329304;201.5282597;203.5435423;205.5789777;207.6347675;209.7111152;211.8082263;213.9263086;216.0655717;218.2262274;220.4084897;222.6125746
Перец черный молотый;кг.;350;350;353.5;357.035;360.60535;364.2114035;367.8535175;371.5320527;375.2473732;378.999847;382.7898454;386.6177439;390.4839213;394.3887605;398.3326482;402.3159746;406.3391344;410.4025257;414.506551;418.6516165;422.8381327;427.066514;431.3371791;435.6505509;440.0070564;444.407127;448.8511983;453.3397102;457.8731073;462.4518384;467.0763568;471.7471204;476.4645916;481.2292375;486.0415299;490.9019452;495.8109646;500.7690743;505.776765;510.8345326;515.942878;521.1023068;526.3133298;531.5764631;536.8922278;542.26115;547.6837615;553.1605991;558.6922051;564.2791272;569.9219185;575.6211376;581.377349;587.1911225;593.0630337;598.9936641;604.9836007;611.0334367;617.1437711;623.3152088
Рис;кг.;60;60;60.6;61.206;61.81806;62.4362406;63.060603;63.691209;64.3281211;64.9714023;65.6211164;66.2773275;66.9401008;67.6095018;68.2855968;68.9684528;69.6581373;70.3547187;71.0582659;71.7688485;72.486537;73.2114024;73.9435164;74.6829516;75.4297811;76.1840789;76.9459197;77.7153789;78.4925327;79.277458;80.0702326;80.8709349;81.6796443;82.4964407;83.3214051;84.1546192;84.9961654;85.846127;86.7045883;87.5716342;88.4473505;89.331824;90.2251423;91.1273937;92.0386676;92.9590543;93.8886448;94.8275313;95.7758066;96.7335647;97.7009003;98.6779093;99.6646884;100.6613353;101.6679486;102.6846281;103.7114744;104.7485892;105.796075;106.8540358
Рулька;кг.;200;200;202;204.02;206.0602;208.120802;210.20201;212.3040301;214.4270704;216.5713411;218.7370545;220.9244251;223.1336693;225.365006;227.6186561;229.8948426;232.1937911;234.515729;236.8608863;239.2294951;241.6217901;244.038008;246.4783881;248.943172;251.4326037;253.9469297;256.486399;259.051263;261.6417756;264.2581934;266.9007753;269.5697831;272.2654809;274.9881357;277.7380171;280.5153972;283.3205512;286.1537567;289.0152943;291.9054472;294.8245017;297.7727467;300.7504742;303.7579789;306.7955587;309.8635143;312.9621494;316.0917709;319.2526886;322.4452155;325.6696677;328.9263644;332.215628;335.5377843;338.8931621;342.2820938;345.7049147;349.1619638;352.6535835;356.1801193
Соль;кг.;19;19;19.19;19.3819;19.575719;19.7714762;19.969191;20.1688829;20.3705717;20.5742774;20.7800202;20.9878204;21.1976986;21.4096756;21.6237723;21.8400101;22.0584102;22.2789943;22.5017842;22.726802;22.9540701;23.1836108;23.4154469;23.6496013;23.8860973;24.1249583;24.3662079;24.60987;24.8559687;25.1045284;25.3555737;25.6091294;25.8652207;26.1238729;26.3851116;26.6489627;26.9154524;27.1846069;27.456453;27.7310175;28.0083277;28.2884109;28.571295;28.857008;29.1455781;29.4370339;29.7314042;30.0287182;30.3290054;30.6322955;30.9386184;31.2480046;31.5604847;31.8760895;32.1948504;32.5167989;32.8419669;33.1703866;33.5020904;33.8371113
Специи для плова;кг.;165;165;166.65;168.3165;169.999665;171.6996617;173.4166583;175.1508248;176.9023331;178.6713564;180.45807;182.2626507;184.0852772;185.92613;187.7853913;189.6632452;191.5598776;193.4754764;195.4102312;197.3643335;199.3379768;201.3313566;203.3446702;205.3781169;207.431898;209.506217;211.6012792;213.717292;215.8544649;218.0130095;220.1931396;222.395071;224.6190217;226.865212;229.1338641;231.4252027;233.7394547;236.0768493;238.4376178;240.821994;243.2302139;245.662516;248.1191412;250.6003326;253.1063359;255.6373993;258.1937733;260.775711;263.3834681;266.0173028;268.6774758;271.3642506;274.0778931;276.818672;279.5868588;282.3827273;285.2065546;288.0586202;290.9392064;293.8485984
Томаты в собственном соку;кг.;92;92;92.92;93.8492;94.787692;95.7355689;96.6929246;97.6598539;98.6364524;99.6228169;100.6190451;101.6252355;102.6414879;103.6679028;104.7045818;105.7516276;106.8091439;107.8772353;108.9560077;110.0455678;111.1460234;112.2574837;113.3800585;114.5138591;115.6589977;116.8155877;117.9837435;119.163581;120.3552168;121.558769;122.7743566;124.0021002;125.2421212;126.4945424;127.7594878;129.0370827;130.3274536;131.6307281;132.9470354;134.2765057;135.6192708;136.9754635;138.3452181;139.7286703;141.125957;142.5372166;143.9625887;145.4022146;146.8562368;148.3247991;149.8080471;151.3061276;152.8191889;154.3473808;155.8908546;157.4497631;159.0242608;160.6145034;162.2206484;163.8428549
Упаковка;шт;20;20;20.20;20.402;20.60602;20.8120802;21.020201;21.230403;21.442707;21.6571341;21.8737055;22.0924425;22.3133669;22.5365006;22.7618656;22.9894843;23.2193791;23.4515729;23.6860886;23.9229495;24.162179;24.4038008;24.6478388;24.8943172;25.1432604;25.394693;25.6486399;25.9051263;26.1641776;26.4258193;26.6900775;26.9569783;27.2265481;27.4988136;27.7738017;28.0515397;28.3320551;28.6153757;28.9015294;29.1905447;29.4824502;29.7772747;30.0750474;30.3757979;30.6795559;30.9863514;31.2962149;31.6091771;31.9252689;32.2445216;32.5669668;32.8926364;33.2215628;33.5537784;33.8893162;34.2282094;34.5704915;34.9161964;35.2653583;35.6180119
Чеснок;кг.;105;105;106.05;107.1105;108.181605;109.2634211;110.3560553;111.4596158;112.574212;113.6999541;114.8369536;115.9853232;117.1451764;118.3166282;119.4997944;120.6947924;121.9017403;123.1207577;124.3519653;125.5954849;126.8514398;128.1199542;129.4011537;130.6951653;132.0021169;133.3221381;134.6553595;136.0019131;137.3619322;138.7355515;140.122907;141.5241361;142.9393775;144.3687712;145.812459;147.2705835;148.7432894;150.2307223;151.7330295;153.2503598;154.7828634;156.330692;157.8939989;159.4729389;161.0676683;162.678345;164.3051285;165.9481797;167.6076615;169.2837382;170.9765755;172.6863413;174.4132047;176.1573368;177.9189101;179.6980992;181.4950802;183.310031;185.1431313;186.9945626
